,总价,建筑面积,室,厅,卫,y_pred
290,196.0,287.37,7.0,3.0,4.0,358.8913525296004
291,158.0,140.0,3.0,2.0,2.0,157.2656790318557
292,66.5,84.2,2.0,2.0,1.0,79.69869257205954
293,115.5,90.0,2.0,2.0,1.0,85.55461367464721
294,115.0,88.0,2.0,1.0,1.0,81.74779862916985
295,480.0,208.0,4.0,3.0,5.0,282.80650858473547
296,125.0,91.0,2.0,2.0,1.0,86.56425524405888
297,138.0,143.0,3.0,2.0,1.0,143.36026172028707
298,160.0,137.0,3.0,2.0,2.0,154.2367543236207
299,125.0,107.0,3.0,2.0,1.0,107.01316522146706
300,53.8,62.36,2.0,1.0,1.0,55.860588789454695
301,80.0,89.4,2.0,2.0,1.0,84.94882873300023
302,103.0,96.0,2.0,2.0,1.0,91.6124630911172
303,75.8,82.0,2.0,2.0,1.0,77.47748111935388
304,95.0,100.0,2.0,2.0,1.0,95.65102936876389
305,245.0,137.0,3.0,2.0,2.0,154.2367543236207
306,150.0,121.72,3.0,2.0,2.0,138.80943114301044
307,66.0,80.0,2.0,1.0,1.0,73.6706660738765
308,116.0,91.0,2.0,2.0,1.0,86.56425524405888
309,90.0,85.0,1.0,1.0,1.0,74.42422905411334
310,79.0,98.0,3.0,2.0,1.0,97.92639109676206
311,39.9,64.8,2.0,1.0,1.0,58.32411421881917
312,112.0,118.0,3.0,2.0,2.0,135.05356450479903
313,76.8,80.0,2.0,2.0,1.0,75.45819798053054
314,99.0,86.2,2.0,2.0,1.0,81.71797571088288
315,70.0,90.0,2.0,2.0,1.0,85.55461367464721
316,63.5,68.65,2.0,2.0,1.0,63.99876616770813
317,45.0,50.0,1.0,1.0,1.0,39.086774124705
318,177.0,162.0,3.0,2.0,2.0,179.47779355891237
319,74.0,87.83,2.0,2.0,1.0,83.36369146902389
320,168.0,118.12,3.0,2.0,2.0,135.17472149312843
321,150.0,128.8,3.0,2.0,1.0,129.0233514346414
322,46.5,47.0,1.0,1.0,1.0,36.05784941646999
323,99.0,96.0,2.0,2.0,1.0,91.6124630911172
324,38.0,49.22,1.0,1.0,1.0,38.299253700563895
325,72.5,56.0,1.0,1.0,1.0,45.14462354117499
326,130.0,135.0,3.0,2.0,2.0,152.21747118479738
327,58.0,63.4,2.0,1.0,1.0,56.910616021642845
328,49.5,56.32,2.0,1.0,1.0,49.76235371020824
329,195.0,176.88,3.0,2.0,2.0,194.50126011175797
330,47.0,62.0,2.0,1.0,1.0,55.497117824466514
331,106.8,100.27,2.0,1.0,1.0,94.13610068585099
332,86.0,59.7,2.0,1.0,1.0,53.17494221481967
333,188.0,107.17,3.0,2.0,2.0,124.11914630807068
334,115.0,155.0,3.0,2.0,2.0,172.4103025730307
335,113.0,98.0,2.0,2.0,1.0,93.63174622994055
336,119.9,180.53,3.0,2.0,2.0,198.18645184011055
337,315.0,150.0,3.0,3.0,2.0,169.1496266326264
338,98.5,103.0,2.0,2.0,1.0,98.67995407699888
339,320.0,227.0,5.0,3.0,5.0,306.28434327037866
340,315.0,185.0,4.0,2.0,2.0,206.99419452220224
341,66.0,85.0,2.0,2.0,1.0,80.50640582758888
342,220.0,146.0,3.0,2.0,2.0,163.3235284483257
343,60.0,78.62,2.0,2.0,1.0,74.06489261474245
344,120.0,98.63,2.0,2.0,1.0,94.26782041866988
345,137.0,96.0,3.0,1.0,1.0,94.1195760512847
346,118.8,110.0,2.0,2.0,1.0,105.74744506288054
347,98.0,131.0,2.0,2.0,2.0,143.8842600403292
348,130.0,109.74,2.0,2.0,1.0,105.48493825483351
349,61.6,70.0,2.0,2.0,1.0,65.36178228641388
350,80.0,105.13,2.0,2.0,2.0,117.76483263964937
351,165.0,151.0,3.0,2.0,2.0,168.37173629538404
352,46.0,70.0,2.0,1.0,1.0,63.574250379759846
353,78.0,117.0,2.0,2.0,1.0,112.81493604876222
354,50.0,50.0,1.0,1.0,1.0,39.086774124705
355,318.0,135.45,4.0,3.0,3.0,175.68832868431178
356,500.0,260.0,4.0,3.0,3.0,301.43918615453487
357,51.0,54.0,1.0,1.0,1.0,43.12534040235166
358,43.0,66.0,2.0,1.0,1.0,59.53568410211317
359,37.8,55.0,2.0,1.0,1.0,48.42962683858484
360,147.97,123.33,3.0,2.0,2.0,140.43495406976322
361,76.0,80.0,2.0,1.0,1.0,73.6706660738765
362,88.0,110.0,2.0,2.0,1.0,105.74744506288054
363,130.0,103.84,2.0,2.0,1.0,99.52805299530468
364,138.0,95.25,2.0,1.0,1.0,89.06770000740443
365,110.0,92.0,2.0,2.0,1.0,87.57389681347055
366,98.0,87.0,2.0,2.0,1.0,82.52568896641222
367,120.0,107.0,2.0,2.0,1.0,102.71852035464555
368,100.0,106.0,2.0,2.0,1.0,101.70887878523388
369,88.0,95.0,2.0,2.0,1.0,90.60282152170555
370,175.0,136.0,3.0,2.0,2.0,153.22711275420903
371,87.0,95.0,2.0,2.0,1.0,90.60282152170555
372,110.0,90.54,2.0,2.0,1.0,86.09982012212951
373,89.0,100.0,2.0,2.0,1.0,95.65102936876389
374,23.0,38.0,1.0,1.0,1.0,26.971075291765004
375,72.0,86.0,2.0,1.0,1.0,79.72851549034651
376,88.0,95.0,2.0,2.0,1.0,90.60282152170555
377,86.0,102.0,2.0,2.0,1.0,97.67031250758721
378,88.0,92.0,2.0,2.0,1.0,87.57389681347055
379,63.0,66.0,2.0,1.0,1.0,59.53568410211317
